header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,"Watched WE’RE BACK, AMERICA 🗣️ The Inside Guys tip off the 2024-25 season LIVE from Boston | NBA on TNT",https://www.youtube.com/watch?v=2DReEj6pAg4,NBA on TNT,https://www.youtube.com/channel/UCU7iRrk3xfpUk0R6VdyC1Ow,2024-10-23 01:12:41.295000+00:00,YouTube,YouTube watch history,2DReEj6pAg4,489.0,"['Basketball', 'Sport', 'Television program']"
YouTube,Watched 12 Min Full Body Fat Burn Cardio Workout (No Jumping HIIT),https://www.youtube.com/watch?v=IY3dD2vQYtw,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-10-23 01:12:23.032000+00:00,YouTube,YouTube watch history,IY3dD2vQYtw,742.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,"Watched Belichick, Peyton & Eli STUNNED over Baker Mayfield's end zone interception 😳 | ManningCast",https://www.youtube.com/watch?v=RNm17emd530,NFL on ESPN,https://www.youtube.com/channel/UCiio0ydw439X13KyZgMIcHw,2024-10-23 00:39:45.037000+00:00,YouTube,YouTube watch history,RNm17emd530,92.0,"['American football', 'Sport']"
YouTube,Watched Homeless Indians in America? (My New Netflix Special),https://www.youtube.com/watch?v=15fiVq9jj8Y,Hasan Minhaj,https://www.youtube.com/channel/UCarEovlrD9QY-fy-Z6apIDQ,2024-10-23 00:39:33.977000+00:00,YouTube,YouTube watch history,15fiVq9jj8Y,147.0,"['Entertainment', 'Film', 'Television program']"
YouTube,Watched Jaylen Brown confronts Stephen A. over his 'unnamed source' from First Take | Stephen A. Smith Show,https://www.youtube.com/watch?v=0pC_msZ8DVM,NBA on ESPN,https://www.youtube.com/channel/UCVSSpcmZD2PwPBqb8yKQKBA,2024-10-22 23:35:08.109000+00:00,YouTube,YouTube watch history,0pC_msZ8DVM,737.0,"['Baseball', 'Basketball', 'Sport']"
YouTube,"Watched 20 Min Full Body Gentle Barre Workout, No Equipment",https://www.youtube.com/watch?v=zibBK8tvaaE,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-10-22 12:26:25.632000+00:00,YouTube,YouTube watch history,zibBK8tvaaE,1206.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,"Watched Christian Horner says ""I would've told him to give it back"" on Verstappen and Norris' battle in COTA",https://www.youtube.com/watch?v=WbWXCkP-e7w,YamzF1,https://www.youtube.com/channel/UCudCAI18mC3vzv0W-JHlYAw,2024-10-22 02:40:40.854000+00:00,YouTube,YouTube watch history,WbWXCkP-e7w,94.0,"['Motorsport', 'Sport']"
YouTube,Watched Bill Belichick shows off his skills,https://www.youtube.com/watch?v=sOp0mVHWdXw,COACH,https://www.youtube.com/channel/UCl-B3f8jkP4wKpijmCucM_Q,2024-10-22 02:39:32.156000+00:00,YouTube,YouTube watch history,sOp0mVHWdXw,22.0,"['American football', 'Sport']"
YouTube,Watched Drivers React After The Race | 2024 United States Grand Prix,https://www.youtube.com/watch?v=Wujk4g9PKMQ,FORMULA 1,https://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg,2024-10-21 17:03:45.841000+00:00,YouTube,YouTube watch history,Wujk4g9PKMQ,619.0,"['Motorsport', 'Sport']"
YouTube,Watched Race Highlights | 2024 United States Grand Prix,https://www.youtube.com/watch?v=kLCytMTycxI,FORMULA 1,https://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg,2024-10-21 16:55:36.631000+00:00,YouTube,YouTube watch history,kLCytMTycxI,495.0,['Video game culture']
YouTube,"Watched 20 Min Full Body Gentle Barre Workout, No Equipment",https://www.youtube.com/watch?v=zibBK8tvaaE,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-10-21 12:26:53.382000+00:00,YouTube,YouTube watch history,zibBK8tvaaE,1206.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,Watched Relax Gently with Exquisite Autumn Jazz Music 🍁 The Autumn Jazz Vibes Will Make You Flutter 🎶,https://www.youtube.com/watch?v=5L0_Un1JpPU,Positive Jazz Music ,https://www.youtube.com/channel/UCqWvouT4yc3ELM2Qq9Tv1RQ,2024-10-21 12:26:06.921000+00:00,YouTube,YouTube watch history,5L0_Un1JpPU,42901.0,"['Jazz', 'Music']"
YouTube,Watched AD’s reaction to Austin Reaves saying Bron's tequila brand smells horrible 😂,https://www.youtube.com/watch?v=SccVxe-1WD8,Bleacher Report,https://www.youtube.com/channel/UC9-OpMMVoNP5o10_Iyq7Ndw,2024-10-20 18:52:08.575000+00:00,YouTube,YouTube watch history,SccVxe-1WD8,11.0,"['American football', 'Baseball', 'Sport']"
YouTube,Watched Cam Newton barking had us in shambles during Read & React 🤣 | NFL Live,https://www.youtube.com/watch?v=o0VmOv8YEW0,Mina Kimes - ESPN,https://www.youtube.com/channel/UC_tw642eXyCSQDor1Ps7ZUg,2024-10-20 18:48:27.415000+00:00,YouTube,YouTube watch history,o0VmOv8YEW0,284.0,"['American football', 'Sport', 'Television program']"
YouTube,Watched Shannon Sharpe & Chad Johnson react to WILD story of an engaged couple's threesome | Nightcap,https://www.youtube.com/watch?v=1Af0JyWFn18,Nightcap,https://www.youtube.com/channel/UCKnodHJpZd8UbSvAufDd3_g,2024-10-20 18:46:13.934000+00:00,YouTube,YouTube watch history,1Af0JyWFn18,534.0,['Entertainment']
